source_text,target_text,source_text_no_stopwords,source_text_stemmed,source_text_lemmatized,target_text_no_stopwords,target_text_stemmed,target_text_lemmatized
"i'm really tired today, i think i need some rest.","i'm totally drained today, need to catch some z's.",i'm really tired today think need rest,i'm realli tire today think need rest,i'm really tired today think need rest,i'm totally drained today need catch z's,i'm total drain today need catch z',i'm totally drained today need catch z's
"i'm really tired today, i just want to relax at home.","i'm hella drained today, just wanna chill at home.",i'm really tired today just want relax home,i'm realli tire today just want relax home,i'm really tired today just want relax home,i'm hella drained today just wanna chill home,i'm hella drain today just wanna chill home,i'm hella drained today just wanna chill home
i'm really excited for the concert tonight.,i'm so hype for the concert tonight.,i'm really excited concert tonight,i'm realli excit concert tonight,i'm really excited concert tonight,i'm hype concert tonight,i'm hype concert tonight,i'm hype concert tonight
"i'm really tired today, i think i need some coffee.","i'm so drained today, i gotta get me some caffeine.",i'm really tired today think need coffee,i'm realli tire today think need coffe,i'm really tired today think need coffee,i'm drained today gotta caffeine,i'm drain today gotta caffein,i'm drained today gotta caffeine
i'm really looking forward to the weekend.,"i'm so hyped for the weekend, can't wait to turn up!",i'm really looking forward weekend,i'm realli look forward weekend,i'm really looking forward weekend,i'm hyped weekend can't wait turn,i'm hype weekend can't wait turn,i'm hyped weekend can't wait turn
i'm really tired today and just want to relax at home.,i'm mad tired today and just wanna chill at home.,i'm really tired today just want relax home,i'm realli tire today just want relax home,i'm really tired today just want relax home,i'm mad tired today just wanna chill home,i'm mad tire today just wanna chill home,i'm mad tired today just wanna chill home
i'm just hanging out with my friends tonight.,i'm just vibing with the squad tonight.,i'm just hanging friends tonight,i'm just hang friend tonight,i'm just hanging friend tonight,i'm just vibing squad tonight,i'm just vibe squad tonight,i'm just vibing squad tonight
i'm going to grab some coffee before work.,"i'm tryna hit up some coffee before i clock in, fr.",i'm going grab coffee work,i'm go grab coffe work,i'm going grab coffee work,i'm tryna hit coffee clock fr,i'm tryna hit coffe clock fr,i'm tryna hit coffee clock fr
"hey, did you see the new movie last night? it was really good.","yo, peep the new flick last night? it was lit.",hey did new movie night really good,hey did new movi night realli good,hey did new movie night really good,yo peep new flick night lit,yo peep new flick night lit,yo peep new flick night lit
i'm just chilling at home and watching some tv.,"just vibing at home, netflix and chillin'.",i'm just chilling home watching tv,i'm just chill home watch tv,i'm just chilling home watching tv,just vibing home netflix chillin,just vibe home netflix chillin,just vibing home netflix chillin
i'm just going to grab some coffee and then head to class.,i'm just finna get some coffee and then slide to class.,i'm just going grab coffee head class,i'm just go grab coffe head class,i'm just going grab coffee head class,i'm just finna coffee slide class,i'm just finna coffe slide class,i'm just finna coffee slide class
i'm feeling really tired today because i didn't sleep well.,i'm mad tired today 'cause i slept like zero.,i'm feeling really tired today didn't sleep,i'm feel realli tire today didn't sleep,i'm feeling really tired today didn't sleep,i'm mad tired today cause slept like zero,i'm mad tire today caus slept like zero,i'm mad tired today cause slept like zero
i'm really tired today but i still have a lot of work to do.,i'm hella tired today but still gotta grind through my tasks.,i'm really tired today lot work,i'm realli tire today lot work,i'm really tired today lot work,i'm hella tired today gotta grind tasks,i'm hella tire today gotta grind task,i'm hella tired today gotta grind task
i'm just really tired today and don't want to do anything complicated.,i'm deadass exhausted today and not tryna do anything sus.,i'm just really tired today don't want complicated,i'm just realli tire today don't want complic,i'm just really tired today don't want complicated,i'm deadass exhausted today tryna sus,i'm deadass exhaust today tryna su,i'm deadass exhausted today tryna sus
i'm really exhausted after a long day at work.,"i'm totally wiped after a long day at work, fr.",i'm really exhausted long day work,i'm realli exhaust long day work,i'm really exhausted long day work,i'm totally wiped long day work fr,i'm total wipe long day work fr,i'm totally wiped long day work fr
"hey, are you free to hang out later?","yo, you down to chill later?",hey free hang later,hey free hang later,hey free hang later,yo chill later,yo chill later,yo chill later
