gen_z,normal
"Got the job today, big W!","I got the job today, which is a major success."
"I forgot my wallet at home, that's an L.","I forgot my wallet at home, which is unfortunate."
Your tweet got 5 likes and 100 replies calling you out. L + ratio.,Your tweet received 5 likes and 100 replies criticizing you.
That meme is so dank!,That meme is very funny.
"That phrase is so cheugy, no one says that anymore.","That phrase is outdated, and no one says it anymore."
TFW you finish a big project and can finally relax,That feeling when you finish a major project and can finally relax.
He's really woke about climate change.,He is very socially aware about climate change.
This new track is a total bop!, This new song is excellent.
Michael Jordan is the GOAT of basketball.,Michael Jordan is considered the greatest basketball player of all time.
"Look at that smol puppy, it's adorable!",Look at that small puppy; it is adorable.
"What's good, fam? Long time no see!","Hello, my friend. It has been a long time since we last met."
She really had a glow up since high school.,She has improved significantly in appearance since high school.
I stan BTS so hard!,I am a huge fan of BTS.
"We were talking for weeks, and then she just ghosted me.","We talked for weeks, and then she suddenly stopped communicating with me."
He's just salty because he lost the game,He is upset because he lost the game.
I'm just here to sip tea and watch the drama unfold.,I am just here to observe the gossip and drama.
His drip today is on point.,His fashion style today is excellent.
That hidden message in the movie was iconic. IYKYK.,"That hidden message in the movie was iconic. If you know, you know."
That song is living rent-free in my head,I cannot stop thinking about that song.
"If you keep talking like that, you're gonna catch these hands.","If you continue speaking like that, you are going to face consequences."
She dragged him for his terrible performance.,She harshly criticized him for his terrible performance.
This pizza is bussin'!,This pizza is very delicious.
Her makeup was snatched at the event.,Her makeup looked flawless at the event.
People are saying he's canceled after those comments.,People are saying he is being publicly rejected after those comments.
"FFS, why is this meeting taking so long?","For goodness’ sake, why is this meeting taking so long?"
H's such an e-boy with those black nails and chains.,He dresses like an emo boy with those black nails and chains.
She's such an e-girl with her neon eyeliner and platform boots.,She dresses like an electronic girl with her neon eyeliner and platform shoes.
She wore the same dress as the bride at the wedding? Big yikes.,She wore the same dress as the bride at the wedding.
I'm finna head out.,I am about to leave.
"He said he's a millionaire, but that's cap.","He said he is a millionaire, but that is a lie."
I high-key love this song.,I strongly enjoy this song.
"He buys her gifts every day, he's such a simp.",He buys her gifts every day; he is excessively devoted to her.
"That outfit is so camp, it's amazing.",That outfit is very exaggerated and stylish in an artistic way.
He showed up to the party looking like a whole snack.,He arrived at the party looking extremely attractive.
"You're being way too extra right now, take several seats.",You are being far too dramatic right now; calm down.
"Sheesh, that's a lot of money!",That is a large amount of money.
This song hits different at night.,This song sounds especially good at night.
You want to meet at 6? Bet.,Do you want to meet at 6? Okay.
"That's the best movie of all time, periodt.","That is the best movie of all time, without question."
He finessed his way into the VIP section.,He cleverly managed to get into the VIP section.
That joke had me weak!,That joke was extremely weak.
She's living her life like she's the main character in a movie.,She is living her life as though she is the protagonist in a film.
"Sis, you are killing it in that outfit!",You look amazing in that outfit.
That meme is sending me!,That meme is making me laugh a lot.
I'm trying to stack up this gaup before the weekend.,I am trying to save up this money before the weekend.
"That outfit? This ain't it, chief.",That outfit is not good at all.
"She brought a whole suitcase for a weekend trip, she's so extra.",She brought far too many belongings for a weekend trip.
Her clapback to that troll was savage.,Her response to that internet troll was extremely harsh and effective.
"I'm about to pull up, C me at the club!",I am about to arrive. See me at the club.
It's cold asl outside!,It is extremely cold outside.
He was out there bangin' 30s all night.,He was scoring many three-point shots all night.
"He doesn't care what anyone thinks, he's so based.",He does not care what anyone thinks; he is confidently authentic.
I'm about to beat my face for this event tonight.,I am about to look very attractive at this event tonight.
He's big mad because we beat his team last night.,He is very angry because we defeated his team last night.
What's your body count?,How many people have you slept with?
We're going to a boujee restaurant tonight.,We are going to an upscale restaurant tonight.
